"","municipality_code","index_ineq"
"186","0402082",0.262064060151319
"187","0402092",0.253181585188539
"188","0402102",0.295292017237549
"189","0403012",0.444012420694376
"190","0403022",0.331943733494978
"191","0403032",0.372574932523861
"192","0403043",0.340405959333087
"193","0403052",0.412721212444433
"194","0403062",0.495207633873717
"195","0403072",0.343462197230962
"196","0403083",0.376949661359868
"197","0404011",0.302257055384975
"198","0404022",0.259891285163369
"199","0404032",0.306574596581704
"200","0404042",0.272715904812085
"201","0404052",0.181740998964593
"202","0404062",0.208651594905349
"203","0404072",0.331400951040735
"204","0405011",0.271808574027851
"205","0405022",0.267223528256457
"206","0405032",0.246606463590334
"207","0405043",0.307707135782599
"208","0405052",0.28408462821298
"209","0405062",0.208455729009755
"210","0406012",0.312564165045421
"211","0406022",0.284264805708295
"212","0406033",0.287123501147984
